Client,Project,Status,Confidence,Priority,Amount (VAT-Ex.) (PHP),Amount (VAT-Ex.) (USD),Quick Remarks,Sign Date,Source,BD,AM,PM,MKT,Project Code,Signed CE (PDF),Internal CE (Sheet),VAT%,Amount (VAT-Inc.),GP%,GP,Invoice(s),Payment Dates,Last Updated,Other Attachments,Other Links,Week Number,RFP Received Date,RFPR-WeekNum,Tribe,Pipeline Tier,Year,Month,Project Start,Project End,AM Weight,AM Lookup,Weighted Amount (PHP),Weighted Amount (USD),Weighted Pitch Phase (PHP),Weighted Awarded Phase (PHP),Weighted Collection Phase (PHP),Weighted Completed Cycle (PHP),Lead Progress,Lead Phase,Lead Date,Lead Month,Lead Week,Qualified Lead,% Collected,Amount Collected (PHP)
Acme Corp,Mobile Legends Tournament S1,Signed CE,100%,Medium,14000000,245614.04,On track,2026-01-12,Referral,Lucas Gabriel Domingo,Andres Felipe Navarro Castillo,Ryan Lim,,PRJ-2026-001,CE_PRJ-2026-001.pdf,https://docs.google.com/spreadsheets/d/fake_1,0%,14000000.0,30%,4200000.0,,,2026-03-28,,,5,,,PDEI - Moonton,Signed CE,2026,January,2026-01-03,2026-04-16,1.0,Andres,14000000.0,245614.04,0,14000000.0,0,0,,1 - Know your client,2026-03-06,3 - Mar,3,Yes,,
Nova Studios,MLBB Pro League Season 8,Fully Closed,100%,Medium,9500000,166666.67,Scope finalized,2026-03-13,Repeat Client,Lucas Gabriel Domingo,Andres Felipe Navarro Castillo,Ryan Lim,,PRJ-2026-002,CE_PRJ-2026-002.pdf,https://docs.google.com/spreadsheets/d/fake_2,12%,10640000.0,25%,2375000.0,INV-2026-002,2026-01-20,2026-03-26,,,4,,,PDEI - Moonton,Signed CE,2026,March,2026-03-13,2026-04-27,1.0,Andres,9500000.0,166666.67,0,0,0,9500000.0,,2 - Sources,2026-03-15,3 - Mar,7,No,100%,9500000
Stellar Games,Moonton Brand Partnership,Collected - For Closing,100%,Medium,7500000,131578.95,Deliverables in progress,2026-03-19,Inbound,Isabella R. Fontanilla,Sofia Beatrice Luna Torres,Carmen Reyes,,PRJ-2026-003,CE_PRJ-2026-003.pdf,https://docs.google.com/spreadsheets/d/fake_3,0%,7500000.0,20%,1500000.0,INV-2026-003,2026-01-12,2026-03-23,,,6,,,PDEI - Moonton,Signed CE,2026,March,2026-03-09,2026-04-21,1.0,Sofia,7500000.0,131578.95,0,0,0,7500000.0,On Hold,1 - Know your client,2026-03-25,3 - Mar,12,Pending,100%,7500000.0
Zenith Tech,MLBB Community Cup,For Collection - Invoice Sent,100%,Medium,5000000,87719.3,Kickoff scheduled,2026-03-16,Repeat Client,Nathan Kai Villanueva Tan,Andres Felipe Navarro Castillo,Miguel Santos,,PRJ-2026-004,CE_PRJ-2026-004.pdf,https://docs.google.com/spreadsheets/d/fake_4,12%,5600000.0,35%,1750000.0,INV-2026-004,2026-03-17,2026-03-26,,,7,,,PDEI - Moonton,Signed CE,2026,March,2026-03-03,2026-05-20,1.0,Andres,5000000.0,87719.3,0,0,5000000.0,0,On Hold,2 - Sources,2026-03-25,3 - Mar,4,No,50%,2500000.0
Phoenix Interactive,Moonton Creator Collab,Won - Awaiting CE Signature,100%,Medium,4500000,78947.37,Kickoff scheduled,2026-01-06,Inbound,Lucas Gabriel Domingo,"Diego Alejandro Reyes, Santiago, III Villanueva",Ryan Lim,,PRJ-2026-005,CE_PRJ-2026-005.pdf,,0%,4500000.0,25%,1125000.0,,,2026-03-22,,,9,2026-01-13,10,PDEI - Moonton,Signed CE,2026,January,2026-01-13,2026-03-21,1.0,DA,4500000.0,78947.37,0,4500000.0,0,0,Completed,3 - Revenue building activities,2026-01-23,1 - Jan,8,No,,
Apex Gaming,MLBB Campus Tour,For Collection - For Invoicing,100%,Medium,3500000,61403.51,Client requested revision,2026-03-18,,Isabella R. Fontanilla,Maria Elena Rosales Bautista,Ryan Lim,,PRJ-2026-006,CE_PRJ-2026-006.pdf,https://docs.google.com/spreadsheets/d/fake_6,12%,3920000.0,15%,525000.0,INV-2026-006,,2026-03-30,,,8,2026-01-04,5,PDEI - Moonton,Signed CE,2026,March,2026-03-15,2026-06-21,1.0,Maria,3500000.0,61403.51,0,0,3500000.0,0,Completed,3 - Revenue building activities,2026-01-21,1 - Jan,10,Yes,,
Titan Brands,Moonton Year-End Bash,Signed CE,100%,Medium,3000000,52631.58,Client requested revision,2026-02-21,Event Lead,Nathan Kai Villanueva Tan,Sofia Beatrice Luna Torres,Paolo Dela Cruz,,PRJ-2026-007,CE_PRJ-2026-007.pdf,https://docs.google.com/spreadsheets/d/fake_7,0%,3000000.0,30%,900000.0,,,2026-03-26,,,10,,,PDEI - Moonton,Signed CE,2026,February,2026-02-05,2026-05-28,1.0,Sofia,3000000.0,52631.58,0,3000000.0,0,0,Active,1 - Know your client,2026-03-22,3 - Mar,7,Pending,,
Crimson Media,Honor of Kings Cup 2026,Signed CE,100%,Medium,7500000,131578.95,Contract signed,2026-03-08,Outbound,Isabella R. Fontanilla,"Diego Alejandro Reyes, Santiago, III Villanueva",Ryan Lim,Content Team,PRJ-2026-008,CE_PRJ-2026-008.pdf,https://docs.google.com/spreadsheets/d/fake_8,12%,8400000.0,25%,1875000.0,,,2026-03-21,,,6,2026-01-16,3,PDEI - Tencent,Signed CE,2026,March,2026-03-14,2026-06-19,1.0,DA,7500000.0,131578.95,0,7500000.0,0,0,On Hold,2 - Sources,2026-01-10,1 - Jan,11,Yes,,
BlueSky Digital,PUBG Mobile Masters,Fully Closed,100%,Medium,5200000,91228.07,Follow-up needed,2026-01-07,Event Lead,Lucas Gabriel Domingo,Andres Felipe Navarro Castillo,Carmen Reyes,Social Team,PRJ-2026-009,CE_PRJ-2026-009.pdf,https://docs.google.com/spreadsheets/d/fake_9,0%,5200000.0,20%,1040000.0,INV-2026-009,2026-03-15,2026-03-29,,,5,,,PDEI - Tencent,Signed CE,2026,January,2026-01-12,2026-03-28,1.0,Andres,5200000.0,91228.07,0,0,0,5200000.0,Completed,1 - Know your client,2026-03-09,3 - Mar,13,,100%,5200000
Vanguard Entertainment,Arena of Valor Showdown,For Collection - Invoice Sent,100%,Medium,4500000,78947.37,Waiting for client approval,2026-03-16,,Nathan Kai Villanueva Tan,"Diego Alejandro Reyes, Santiago, III Villanueva",Lucia Mendez,Social Team,PRJ-2026-010,CE_PRJ-2026-010.pdf,,12%,5040000.0,30%,1350000.0,INV-2026-010,2026-03-17,2026-03-31,,,8,2026-01-01,4,PDEI - Tencent,Signed CE,2026,March,2026-03-08,2026-06-22,1.0,DA,4500000.0,78947.37,0,0,4500000.0,0,Completed,1 - Know your client,2026-01-07,1 - Jan,8,Yes,50%,2250000.0
